/AUTOSAR/EcucDefs/Com,,,1
/AUTOSAR/EcucDefs/Com/ComGeneral,ComGeneral,,1
/AUTOSAR/EcucDefs/Com/ComGeneral/ComConfigurationUseDet,ComConfigurationUseDet,BOOLEAN,0,1
/AUTOSAR/EcucDefs/Com/ComGeneral/ComEnableMDTForCyclicTransmission,ComEnableMDTForCyclicTransmission,BOOLEAN,0,1
/AUTOSAR/EcucDefs/Com/ComGeneral/ComRetryFailedTransmitRequests,ComRetryFailedTransmitRequests,BOOLEAN,0,1
/AUTOSAR/EcucDefs/Com/ComGeneral/ComSupportedIPduGroups,ComSupportedIPduGroups,INT,1
/AUTOSAR/EcucDefs/Com/ComGeneral/ComVersionInfoApi,ComVersionInfoApi,BOOLEAN,1
/AUTOSAR/EcucDefs/Com/ComConfig,ComConfig,,1,*
/AUTOSAR/EcucDefs/Com/ComConfig/ComConfigurationId,ComConfigurationId,INT,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComTimeBase,ComTimeBase,,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComTimeBase/ComTxTimeBase,ComTxTimeBase,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComTimeBase/ComRxTimeBase,ComRxTimeBase,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPduGroup,ComIPduGroup,,1,*
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPduGroup/ComIPduGroupHandleId,ComIPduGroupHandleId,INT,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu,ComIPdu,,1,*
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComIPduCallout,ComIPduCallout,FUNCTION,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComIPduCancellationSupport,ComIPduCancellationSupport,BOOLEAN,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComIPduDirection,ComIPduDirection,ENUM,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComIPduHandleId,ComIPduHandleId,INT,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComIPduSignalProcessing,ComIPduSignalProcessing,ENUM,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComIPduType,ComIPduType,ENUM,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComIPduGroupRef,ComIPduGroupRef,REF,1,*
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComIPduSignalRef,ComIPduSignalRef,REF,0,*
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComPduIdRef,ComPduIdRef,REF,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu,ComTxIPdu,,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComMinimumDelayTime,ComMinimumDelayTime,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxIPduClearUpdateBit,ComTxIPduClearUpdateBit,ENUM,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxIPduUnusedAreasDefault,ComTxIPduUnusedAreasDefault,INT,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeFalse,ComTxModeFalse,,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeFalse/ComTxMode,ComTxMode_false,,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeFalse/ComTxMode/ComTxModeMode,ComTxModeMode,ENUM,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeFalse/ComTxMode/ComTxModeNumberOfRepetitions,ComTxModeNumberOfRepetitions,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeFalse/ComTxMode/ComTxModeRepetitionPeriod,ComTxModeRepetitionPeriod,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeFalse/ComTxMode/ComTxModeTimeOffset,ComTxModeTimeOffset,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeFalse/ComTxMode/ComTxModeTimePeriod,ComTxModeTimePeriod,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeTrue,ComTxModeTrue,,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeTrue/ComTxMode,ComTxMode_true,,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeTrue/ComTxMode/ComTxModeMode,ComTxModeMode,ENUM,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeTrue/ComTxMode/ComTxModeNumberOfRepetitions,ComTxModeNumberOfRepetitions,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeTrue/ComTxMode/ComTxModeRepetitionPeriod,ComTxModeRepetitionPeriod,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeTrue/ComTxMode/ComTxModeTimeOffset,ComTxModeTimeOffset,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComIPdu/ComTxIPdu/ComTxModeTrue/ComTxMode/ComTxModeTimePeriod,ComTxModeTimePeriod,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal,ComSignal,,1,*
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComBitPosition,ComBitPosition,INT,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComBitSize,ComBitSize,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComDataInvalidAction,ComDataInvalidAction,ENUM,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComErrorNotification,ComErrorNotification,FUNCTION,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFirstTimeout,ComFirstTimeout,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComHandleId,ComHandleId,INT,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComInvalidNotification,ComInvalidNotification,FUNCTION,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComNotification,ComNotification,FUNCTION,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComRxDataTimeoutAction,ComRxDataTimeoutAction,ENUM,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComSignalDataInvalidValue,ComSignalDataInvalidValue,STRING,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComSignalEndianness,ComSignalEndianness,ENUM,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComSignalInitValue,ComSignalInitValue,STRING,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComSignalLength,ComSignalLength,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComSignalType,ComSignalType,ENUM,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComTimeout,ComTimeout,FLOAT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComTimeoutNotification,ComTimeoutNotification,FUNCTION,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComTransferProperty,ComTransferProperty,ENUM,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComUpdateBitPosition,ComUpdateBitPosition,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFilter,ComFilter,,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFilter/ComFilterAlgorithm,ComFilterAlgorithm,ENUM,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFilter/ComFilterMask,ComFilterMask,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFilter/ComFilterMax,ComFilterMax,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFilter/ComFilterMin,ComFilterMin,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFilter/ComFilterOffset,ComFilterOffset,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFilter/ComFilterPeriod,ComFilterPeriod,INT,0,1
/AUTOSAR/EcucDefs/Com/ComConfig/ComSignal/ComFilter/ComFilterX,ComFilterX,INT,0,1
/AUTOSAR/EcucDefs/EcuC,,,1
/AUTOSAR/EcucDefs/EcuC/EcucPduCollection,EcucPduCollection,,0,1
/AUTOSAR/EcucDefs/EcuC/EcucPduCollection/PduIdTypeEnum,PduIdTypeEnum,ENUM,0,1
/AUTOSAR/EcucDefs/EcuC/EcucPduCollection/PduLengthTypeEnum,PduLengthTypeEnum,ENUM,0,1
/AUTOSAR/EcucDefs/EcuC/EcucPduCollection/Pdu,Pdu,,0,*
/AUTOSAR/EcucDefs/EcuC/EcucPduCollection/Pdu/PduLength,PduLength,INT,1
/AUTOSAR/EcucDefs/EcuC/EcucPduCollection/Pdu/SysTPduToFrameMappingRef,SysTPduToFrameMappingRef,REF,0,1
/AUTOSAR/EcucDefs/PduR,,,1
/AUTOSAR/EcucDefs/PduR/PduRGeneral,PduRGeneral,,1
/AUTOSAR/EcucDefs/PduR/PduRGeneral/PduRZeroCostOperation,PduRZeroCostOperation,BOOLEAN,1
/AUTOSAR/EcucDefs/PduR/PduRRoutingTables,PduRRoutingTables,,1
/AUTOSAR/EcucDefs/PduR/PduRRoutingTables/PduRConfigurationId,PduRConfigurationId,INT,1
/AUTOSAR/EcucDefs/PduR/PduRRoutingTables/PduRRoutingTable,PduRRoutingTable,,0,*
/AUTOSAR/EcucDefs/PduR/PduRRoutingTables/PduRRoutingTable/PduRRoutingPath,PduRRoutingPath,,0,*
/AUTOSAR/EcucDefs/PduR/PduRRoutingTables/PduRRoutingTable/PduRRoutingPath/PduRSrcPdu,PduRSrcPdu,,1
/AUTOSAR/EcucDefs/PduR/PduRRoutingTables/PduRRoutingTable/PduRRoutingPath/PduRSrcPdu/PduRSourcePduHandleId,PduRSourcePduHandleId,INT,1
